SN 2001jb 52288.33 Z  2.313e+00 6.595e-01  21.1               
SN 2001jb 52289.32 Z  1.669e+00 1.118e+00  21.7               
SN 2001jb 52323.26 Z -1.767e+00 3.091e+00  41.6               
SN 2001jf 52163.54 I -1.126e-01 6.847e-02 -56.7               
SN 2001jf 52174.56 I  3.321e-01 8.107e-02 -50.6               
SN 2001jf 52191.43 I -2.826e-01 2.078e-01 -41.3               
SN 2001jf 52198.45 I -2.267e-01 3.849e-01 -37.5               
SN 2001jf 52204.46 I -2.440e-01 1.220e-01 -34.2               
SN 2001jf 52225.31 I -1.891e-02 1.850e-01 -22.6               
SN 2001jf 52231.24 I -1.700e-01 3.864e-01 -19.4               
SN 2001jf 52232.26 I -1.496e-01 2.888e-01 -18.8               
SN 2001jf 52236.24 I  8.262e-02 4.801e-01 -16.7 B -1.168 0.023
SN 2001jf 52252.23 I  2.543e+00 3.069e-01  -7.8 B -1.194 0.023
SN 2001jf 52263.23 I  4.113e+00 4.085e-01  -1.8 B -1.215 0.023
SN 2001jf 52283.28 I  2.627e+00 6.249e-01   9.3 B -1.232 0.023
SN 2001jf 52288.36 I  2.198e+00 9.523e-02  12.1 B -1.233 0.023
SN 2001jf 52289.36 I  2.574e+00 3.432e-01  12.6 B -1.232 0.023
SN 2001jf 52323.23 I  3.304e-02 4.124e-01  31.3 B -1.230 0.023
SN 2001jf 52204.51 R  6.669e-02 1.234e-01 -34.1               
SN 2001jf 52231.27 R  4.500e-02 1.516e-01 -19.4               
SN 2001jf 52232.23 R -2.432e-02 6.617e-02 -18.8               
SN 2001jf 52236.21 R  9.153e-02 1.807e-01 -16.7               
SN 2001jf 52252.21 R  1.598e+00 3.453e-01  -7.9               
SN 2001jf 52283.34 R  9.666e-01 1.021e-01   9.3               
SN 2001jf 52288.39 R  6.606e-01 1.981e-01  12.1               
SN 2001jf 52289.29 R  9.514e-01 1.407e-01  12.6               
SN 2001jf 52198.46 Z  5.307e-01 1.190e+00 -37.5               
